0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:24 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:24 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:24 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:24 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:24 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:24 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:25 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:25 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:25 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:25 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:25 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:25 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:25 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:25 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:25 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
127.0.0.1 - - [15/Dec/2019:22:45:27 +0100] "GET /tv/candidate HTTP/1.1" 200 2233
127.0.0.1 - - [15/Dec/2019:22:45:27 +0100] "GET /tv/common/styleMain.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2019:22:45:27 +0100] "GET /tv/script/includeHTML.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2019:22:45:27 +0100] "GET /tv/script/toggleMenu.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2019:22:45:27 +0100] "GET /tv/common/menuNotConnected.html HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2019:22:46:06 +0100] "GET /tv/candidate HTTP/1.1" 200 2251
127.0.0.1 - - [15/Dec/2019:22:46:06 +0100] "GET /tv/common/styleMain.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2019:22:46:06 +0100] "GET /tv/script/includeHTML.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2019:22:46:06 +0100] "GET /tv/script/toggleMenu.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2019:22:46:06 +0100] "GET /tv/common/menuNotConnected.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:46:25 +0100] "GET /tv/candidate HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:46:25 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:51:54 +0100] "POST /tv/candidate HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [15/Dec/2019:23:02:34 +0100] "GET /tv/candidate HTTP/1.1" 200 2251
